Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
30/07/2015,31.3,27.6,23.8,25.7,23.3,22.2,94,86,68,1013,1007,11,1,16,1.4
31/07/2015,32.8,26.5,20.2,22.8,17.1,11.1,96,61,28,1011,1008,14,2,16,0.03
01/08/2015,32.2,27,21.7,18.3,15.9,12,77,55,30,1010,1007,24,2,24,0
02/08/2015,30.8,24.9,19.1,19.9,16.3,11.5,79,60,31,1012,1010,11,1,11,0
03/08/2015,33.2,27.2,21.1,19.6,17.2,15.1,81,57,38,1011,1007,13,2,16,0
04/08/2015,32.6,26.2,19.9,21.3,17.4,12.5,93,61,30,1012,1008,21,2,23,0.18
05/08/2015,31.2,24.9,18.7,17,14.7,12.3,83,55,33,1013,1010,16,2,24,0
06/08/2015,29.6,23.3,16.9,17.5,13.6,10.5,80,56,32,1014,1011,11,1,13,0
07/08/2015,28.3,23.3,18.4,18.4,16.5,14.2,84,67,44,1012,1011,10,1,16,0
08/08/2015,27.1,21.9,16.7,17.4,15.8,13.8,89,70,49,1015,1012,6,0,10,0
09/08/2015,30,23.7,17.3,18.7,16.6,13.7,90,70,39,1016,1014,11,1,19,0
10/08/2015,26.8,22.4,18,19.3,17.7,14.7,96,75,51,1017,1013,11,1,19,0
11/08/2015,27.7,24.3,20.9,22.7,20.3,16.9,94,84,71,1013,1005,19,1,19,1.63
12/08/2015,29.5,24.1,18.7,20.5,16.5,13.7,91,65,39,1013,1008,16,2,19,0
13/08/2015,28.9,23.3,17.8,15.7,13.2,9.9,81,56,32,1019,1013,14,1,14,0
14/08/2015,31.3,23.6,15.9,18.1,14.9,11,85,61,35,1021,1018,14,1,14,0
15/08/2015,32.8,26.2,19.7,21.1,18.4,16,86,64,38,1020,1016,13,1,13,0
